Year,State,FAH sales per capita nominal U.S. dollars without taxes and tips,FAFH sales per capita nominal U.S. dollars without taxes and tips,Total sales per capita nominal U.S. dollars without taxes and tips,FAH sales per capita constant 1988 U.S. dollars without taxes and tips,FAFH sales per capita constant 1988 U.S. dollars without taxes and tips,Total sales per capita constant 1988 U.S. dollars without taxes and tips
2004,Vermont,"1,833.90","1,139.81","2,973.71","1,154.07",757.48,"1,911.55"
2005,Vermont,"1,933.70","1,170.16","3,103.87","1,185.53",756.18,"1,941.71"
2006,Vermont,"2,031.94","1,222.72","3,254.66","1,218.14",762.46,"1,980.61"
2007,Vermont,"2,097.76","1,237.16","3,334.92","1,210.35",740.23,"1,950.59"
2008,Vermont,"2,242.01","1,256.31","3,498.32","1,218.10",719.38,"1,937.49"
2009,Vermont,"2,170.55","1,233.04","3,403.59","1,167.74",682.80,"1,850.54"
2010,Vermont,"2,164.46","1,292.10","3,456.56","1,153.56",704.52,"1,858.08"
2011,Vermont,"2,257.73","1,359.41","3,617.13","1,153.63",723.47,"1,877.10"
2012,Vermont,"2,270.79","1,445.90","3,716.69","1,129.35",749.39,"1,878.74"
2013,Vermont,"2,315.03","1,555.17","3,870.21","1,141.82",792.67,"1,934.50"
2014,Vermont,"2,426.41","1,709.95","4,136.36","1,176.67",852.78,"2,029.45"
2015,Vermont,"2,453.31","1,880.98","4,334.28","1,173.52",916.75,"2,090.27"
2016,Vermont,"2,544.51","2,020.33","4,564.83","1,233.64",959.14,"2,192.78"
2017,Vermont,"2,625.46","2,197.82","4,823.28","1,270.92","1,019.41","2,290.33"
2018,Vermont,"2,744.47","2,297.06","5,041.53","1,312.35","1,036.80","2,349.16"
2019,Vermont,"2,812.48","2,376.99","5,189.47","1,334.19","1,042.97","2,377.16"
2020,Vermont,"2,860.03","1,885.65","4,745.68","1,311.80",798.50,"2,110.30"
2021,Vermont,"3,016.19","2,383.23","5,399.43","1,351.68",963.33,"2,315.01"
2022,Vermont,"3,200.65","2,809.48","6,010.12","1,302.50","1,062.46","2,364.96"
2023,Vermont,"3,227.75","3,035.47","6,263.23","1,253.59","1,074.16","2,327.75"
1997,Virginia,"1,444.70",988.74,"2,433.44","1,074.45",759.23,"1,833.69"
1998,Virginia,"1,474.83","1,020.00","2,494.83","1,080.86",763.13,"1,843.99"
1999,Virginia,"1,564.61","1,052.91","2,617.53","1,128.75",768.95,"1,897.70"
2000,Virginia,"1,619.67","1,113.55","2,733.22","1,137.91",795.21,"1,933.11"
2001,Virginia,"1,673.37","1,147.38","2,820.75","1,142.96",797.95,"1,940.91"
2002,Virginia,"1,705.55","1,167.91","2,873.46","1,149.98",794.18,"1,944.16"
2003,Virginia,"1,744.33","1,230.53","2,974.86","1,151.26",817.24,"1,968.49"
2004,Virginia,"1,847.41","1,322.86","3,170.28","1,173.04",852.20,"2,025.24"
2005,Virginia,"1,946.58","1,394.36","3,340.95","1,211.37",872.99,"2,084.36"
2006,Virginia,"2,057.04","1,473.57","3,530.61","1,255.75",895.11,"2,150.86"
2007,Virginia,"2,176.18","1,538.78","3,714.97","1,275.01",903.85,"2,178.86"
2008,Virginia,"2,228.68","1,569.36","3,798.04","1,223.50",881.25,"2,104.75"
2009,Virginia,"2,136.62","1,529.50","3,666.12","1,164.10",828.78,"1,992.88"
2010,Virginia,"2,161.58","1,539.11","3,700.69","1,170.80",823.49,"1,994.29"
2011,Virginia,"2,258.02","1,614.78","3,872.79","1,163.48",845.18,"2,008.66"
2012,Virginia,"2,397.96","1,677.87","4,075.84","1,203.09",854.68,"2,057.77"
2013,Virginia,"2,377.50","1,747.45","4,124.95","1,178.82",870.15,"2,048.96"
2014,Virginia,"2,414.16","1,847.73","4,261.89","1,168.51",898.91,"2,067.43"
2015,Virginia,"2,416.17","2,007.17","4,423.35","1,157.54",947.56,"2,105.11"
2016,Virginia,"2,448.44","2,134.51","4,582.95","1,189.90",987.94,"2,177.84"
2017,Virginia,"2,542.05","2,265.02","4,807.07","1,238.15","1,027.65","2,265.80"
2018,Virginia,"2,588.61","2,347.74","4,936.35","1,257.07","1,043.16","2,300.23"
2019,Virginia,"2,631.41","2,426.19","5,057.60","1,269.11","1,045.87","2,314.98"
2020,Virginia,"2,805.64","2,112.11","4,917.75","1,307.15",886.28,"2,193.43"
2021,Virginia,"3,018.25","2,601.93","5,620.18","1,359.51","1,051.16","2,410.67"
2022,Virginia,"3,183.12","2,941.00","6,124.12","1,287.29","1,102.47","2,389.77"
2023,Virginia,"3,231.05","3,166.91","6,397.95","1,240.39","1,108.32","2,348.71"
1997,Washington,"1,580.32",973.27,"2,553.58","1,129.91",759.59,"1,889.50"
1998,Washington,"1,601.96","1,016.45","2,618.42","1,111.25",772.66,"1,883.91"
1999,Washington,"1,677.90","1,054.12","2,732.02","1,140.82",784.37,"1,925.19"
2000,Washington,"1,727.17","1,098.85","2,826.02","1,150.79",799.77,"1,950.56"
2001,Washington,"1,772.42","1,114.80","2,887.22","1,133.57",786.53,"1,920.10"
2002,Washington,"1,793.14","1,122.49","2,915.64","1,125.79",766.67,"1,892.47"
2003,Washington,"1,864.49","1,177.25","3,041.74","1,139.85",788.79,"1,928.63"
2004,Washington,"1,993.90","1,241.76","3,235.66","1,175.14",807.18,"1,982.32"
2005,Washington,"2,133.30","1,322.62","3,455.92","1,245.94",830.02,"2,075.96"
2006,Washington,"2,236.29","1,400.18","3,636.47","1,290.55",853.65,"2,144.20"
2007,Washington,"2,352.12","1,465.07","3,817.19","1,296.36",862.30,"2,158.66"
2008,Washington,"2,451.99","1,493.46","3,945.45","1,272.88",846.80,"2,119.67"
2009,Washington,"2,390.78","1,426.76","3,817.54","1,250.20",784.54,"2,034.73"
2010,Washington,"2,451.42","1,442.12","3,893.54","1,289.65",783.79,"2,073.44"
2011,Washington,"2,563.44","1,513.77","4,077.21","1,285.75",804.67,"2,090.42"
2012,Washington,"2,760.29","1,582.96","4,343.25","1,359.95",816.46,"2,176.42"
2013,Washington,"2,736.85","1,703.37","4,440.22","1,336.44",860.45,"2,196.88"
2014,Washington,"2,765.15","1,851.58","4,616.73","1,313.58",912.76,"2,226.34"
2015,Washington,"2,776.65","2,035.77","4,812.42","1,297.30",975.52,"2,272.82"
2016,Washington,"2,721.15","2,169.81","4,890.97","1,286.14","1,006.71","2,292.85"
2017,Washington,"2,863.28","2,314.98","5,178.26","1,357.51","1,039.97","2,397.48"
2018,Washington,"2,940.16","2,448.73","5,388.90","1,387.90","1,063.82","2,451.72"
2019,Washington,"3,048.40","2,557.41","5,605.81","1,417.39","1,072.88","2,490.27"
2020,Washington,"3,277.07","2,197.34","5,474.40","1,465.28",881.45,"2,346.73"
2021,Washington,"3,620.28","2,738.69","6,358.97","1,551.09","1,047.53","2,598.63"
2022,Washington,"3,944.30","3,223.92","7,168.22","1,516.92","1,149.40","2,666.32"
2023,Washington,"3,944.26","3,582.95","7,527.21","1,449.81","1,188.82","2,638.63"
1997,West Virginia,"1,311.92",722.53,"2,034.45",975.71,554.81,"1,530.52"
1998,West Virginia,"1,287.20",759.74,"2,046.94",943.34,568.41,"1,511.76"
1999,West Virginia,"1,297.84",780.47,"2,078.30",936.29,569.98,"1,506.27"
2000,West Virginia,"1,266.52",833.50,"2,100.01",889.80,595.22,"1,485.01"
2001,West Virginia,"1,277.59",875.19,"2,152.78",872.63,608.66,"1,481.28"
2002,West Virginia,"1,261.47",910.89,"2,172.37",850.56,619.41,"1,469.96"
2003,West Virginia,"1,271.87",957.48,"2,229.35",839.43,635.89,"1,475.33"
2004,West Virginia,"1,345.66","1,001.72","2,347.38",854.45,645.32,"1,499.77"
2005,West Virginia,"1,415.20","1,029.83","2,445.03",880.69,644.76,"1,525.45"
2006,West Virginia,"1,481.56","1,081.93","2,563.49",904.44,657.21,"1,561.65"
2007,West Virginia,"1,533.50","1,103.37","2,636.86",898.46,648.09,"1,546.56"
2008,West Virginia,"1,644.41","1,164.66","2,809.07",902.75,653.99,"1,556.74"
2009,West Virginia,"1,635.02","1,179.66","2,814.67",890.81,639.21,"1,530.02"
2010,West Virginia,"1,717.36","1,226.76","2,944.12",930.19,656.37,"1,586.57"
2011,West Virginia,"1,813.45","1,305.69","3,119.13",934.41,683.40,"1,617.81"
2012,West Virginia,"1,952.83","1,379.10","3,331.92",979.76,702.49,"1,682.25"
2013,West Virginia,"1,981.14","1,426.01","3,407.15",982.29,710.09,"1,692.38"
2014,West Virginia,"2,042.01","1,487.93","3,529.94",988.39,723.87,"1,712.26"
2015,West Virginia,"2,048.18","1,580.74","3,628.92",981.24,746.25,"1,727.49"
2016,West Virginia,"2,107.93","1,634.48","3,742.41","1,024.42",756.50,"1,780.92"
2017,West Virginia,"2,170.02","1,717.08","3,887.10","1,056.94",779.05,"1,835.99"
2018,West Virginia,"2,217.96","1,777.60","3,995.56","1,077.07",789.84,"1,866.91"
2019,West Virginia,"2,226.99","1,865.52","4,092.51","1,074.07",804.18,"1,878.24"
2020,West Virginia,"2,338.33","1,695.93","4,034.26","1,089.43",711.64,"1,801.07"
2021,West Virginia,"2,537.85","2,078.26","4,616.11","1,143.12",839.60,"1,982.73"
2022,West Virginia,"2,507.33","2,219.12","4,726.45","1,014.00",831.87,"1,845.86"
2023,West Virginia,"2,489.77","2,313.99","4,803.75",955.81,809.82,"1,765.64"
1997,Wisconsin,"1,385.66",790.94,"2,176.60","1,036.32",603.18,"1,639.50"
1998,Wisconsin,"1,404.76",828.00,"2,232.76","1,031.83",615.52,"1,647.35"
1999,Wisconsin,"1,473.03",873.29,"2,346.32","1,059.66",633.22,"1,692.88"
2000,Wisconsin,"1,523.01",915.50,"2,438.51","1,070.86",645.56,"1,716.41"
2001,Wisconsin,"1,564.31",947.76,"2,512.07","1,066.66",649.66,"1,716.32"
2002,Wisconsin,"1,551.05",965.41,"2,516.46","1,049.53",647.82,"1,697.35"
2003,Wisconsin,"1,596.49","1,012.34","2,608.84","1,065.25",666.04,"1,731.30"
2004,Wisconsin,"1,660.58","1,069.17","2,729.76","1,076.81",683.23,"1,760.03"
2005,Wisconsin,"1,731.68","1,116.26","2,847.93","1,099.37",689.76,"1,789.13"
2006,Wisconsin,"1,764.19","1,168.82","2,933.01","1,102.38",703.08,"1,805.46"
2007,Wisconsin,"1,821.31","1,198.83","3,020.14","1,094.59",697.13,"1,791.72"
2008,Wisconsin,"1,864.55","1,216.26","3,080.80","1,053.16",675.26,"1,728.41"
2009,Wisconsin,"1,794.02","1,198.03","2,992.05","1,003.80",641.20,"1,645.00"
2010,Wisconsin,"1,813.75","1,223.81","3,037.55","1,010.33",647.87,"1,658.20"
2011,Wisconsin,"1,894.85","1,278.63","3,173.48","1,008.11",660.26,"1,668.37"
2012,Wisconsin,"2,088.37","1,338.48","3,426.85","1,082.70",671.63,"1,754.33"
2013,Wisconsin,"2,129.63","1,411.26","3,540.88","1,098.02",691.46,"1,789.48"
2014,Wisconsin,"2,202.62","1,501.57","3,704.19","1,108.13",715.93,"1,824.07"
2015,Wisconsin,"2,186.87","1,640.35","3,827.22","1,094.17",758.91,"1,853.07"
2016,Wisconsin,"2,236.96","1,736.08","3,973.04","1,134.31",783.16,"1,917.48"
2017,Wisconsin,"2,281.31","1,854.47","4,135.78","1,160.94",822.82,"1,983.77"
2018,Wisconsin,"2,344.17","1,923.36","4,267.52","1,192.58",833.46,"2,026.04"
2019,Wisconsin,"2,385.08","1,993.07","4,378.16","1,207.45",841.20,"2,048.65"
2020,Wisconsin,"2,512.22","1,755.36","4,267.58","1,236.13",722.47,"1,958.60"
2021,Wisconsin,"2,698.51","2,172.52","4,871.03","1,283.77",850.88,"2,134.64"
2022,Wisconsin,"2,831.69","2,425.31","5,256.99","1,193.66",873.59,"2,067.25"
2023,Wisconsin,"2,897.20","2,579.19","5,476.39","1,160.72",869.77,"2,030.49"
1997,Wyoming,"1,748.23","1,015.49","2,763.71","1,249.96",792.54,"2,042.50"
1998,Wyoming,"1,741.75","1,062.30","2,804.04","1,208.22",807.51,"2,015.73"
1999,Wyoming,"1,800.20","1,116.45","2,916.65","1,223.97",830.75,"2,054.72"
2000,Wyoming,"1,793.58","1,168.48","2,962.05","1,195.03",850.45,"2,045.48"
2001,Wyoming,"1,931.76","1,187.48","3,119.24","1,235.48",837.81,"2,073.29"
2002,Wyoming,"1,934.91","1,249.18","3,184.09","1,214.80",853.21,"2,068.00"
2003,Wyoming,"2,013.26","1,315.71","3,328.97","1,230.79",881.56,"2,112.35"
2004,Wyoming,"2,167.80","1,404.20","3,572.00","1,277.63",912.77,"2,190.40"
2005,Wyoming,"2,287.38","1,467.55","3,754.93","1,335.93",920.97,"2,256.90"
2006,Wyoming,"2,382.77","1,527.31","3,910.08","1,375.08",931.16,"2,306.24"
2007,Wyoming,"2,446.96","1,573.43","4,020.39","1,348.63",926.08,"2,274.71"
2008,Wyoming,"2,467.33","1,622.89","4,090.22","1,280.84",920.18,"2,201.02"
2009,Wyoming,"2,257.36","1,538.38","3,795.74","1,180.43",845.91,"2,026.34"
2010,Wyoming,"2,228.54","1,561.61","3,790.15","1,172.40",848.73,"2,021.13"
2011,Wyoming,"2,238.20","1,647.30","3,885.50","1,122.62",875.64,"1,998.26"
2012,Wyoming,"2,350.16","1,716.27","4,066.43","1,157.89",885.23,"2,043.11"
2013,Wyoming,"2,383.67","1,799.83","4,183.50","1,163.97",909.17,"2,073.15"
2014,Wyoming,"2,480.42","1,927.93","4,408.35","1,178.32",950.40,"2,128.72"
2015,Wyoming,"2,522.54","2,097.85","4,620.39","1,178.58","1,005.27","2,183.84"
2016,Wyoming,"2,558.00","2,168.11","4,726.10","1,209.02","1,005.92","2,214.94"
2017,Wyoming,"2,677.39","2,311.42","4,988.81","1,269.38","1,038.37","2,307.75"
2018,Wyoming,"2,767.59","2,425.98","5,193.57","1,306.44","1,053.93","2,360.37"
2019,Wyoming,"2,835.42","2,559.04","5,394.45","1,318.36","1,073.56","2,391.93"
2020,Wyoming,"3,080.66","2,481.00","5,561.66","1,377.46",995.24,"2,372.70"
2021,Wyoming,"3,345.31","3,145.19","6,490.50","1,433.28","1,203.02","2,636.30"
2022,Wyoming,"3,547.88","3,388.44","6,936.32","1,364.46","1,208.06","2,572.52"
2023,Wyoming,"3,589.80","3,590.88","7,180.68","1,319.52","1,191.45","2,510.98"
